Index Name,Date,Year,Month ,Open,High,Low,Close,Volume
NIFTY ALPHA 50,01-Mar-19,2019,3,11697.4,11766.3,11695.7,11754.6,61925384
NIFTY ALPHA 50,05-Mar-19,2019,3,11768.8,11863.8,11751.5,11856.5,72608382
NIFTY ALPHA 50,06-Mar-19,2019,3,11914.9,11932.1,11832.4,11880.2,76211150
NIFTY ALPHA 50,07-Mar-19,2019,3,11899.7,11934.4,11816.9,11835.35,71578002
NIFTY ALPHA 50,08-Mar-19,2019,3,11846.45,11869.35,11794.8,11820.1,54457743
NIFTY ALPHA 50,11-Mar-19,2019,3,11841.55,11972.55,11838.2,11961.15,72704259
NIFTY ALPHA 50,12-Mar-19,2019,3,12023.15,12101.85,12011.9,12031.8,88580761
NIFTY ALPHA 50,13-Mar-19,2019,3,12060.65,12075.85,11965.4,11975.4,78544911
NIFTY ALPHA 50,14-Mar-19,2019,3,12019.5,12023.5,11920.5,11943.4,66038650
NIFTY ALPHA 50,15-Mar-19,2019,3,11987.9,12029.35,11946.05,11968.55,122031101
NIFTY ALPHA 50,18-Mar-19,2019,3,12033.55,12044.95,11920.05,11950.2,77438490
NIFTY ALPHA 50,19-Mar-19,2019,3,11996.7,12021.2,11942.85,12002,74626246
NIFTY ALPHA 50,20-Mar-19,2019,3,12031.6,12081.3,12000,12012.95,92979068
NIFTY ALPHA 50,22-Mar-19,2019,3,12033.4,12057.9,11928.9,11954.6,73671357
NIFTY ALPHA 50,25-Mar-19,2019,3,11888.4,11888.65,11810.8,11834.1,63478670
NIFTY ALPHA 50,26-Mar-19,2019,3,11864.45,11940.9,11832.3,11932.85,68920615
NIFTY ALPHA 50,27-Mar-19,2019,3,11962,11973.8,11882.3,11917.2,75818056
NIFTY ALPHA 50,28-Mar-19,2019,3,11938.1,12131.85,11931.65,12105.65,123476812
NIFTY ALPHA 50,29-Mar-19,2019,3,12159.05,12202.1,12140.8,12187.9,111206773
NIFTY ALPHA 50,01-Apr-19,2019,4,12225.3,12282.35,12192.25,12210.65,96577622
NIFTY ALPHA 50,02-Apr-19,2019,4,12246.5,12256.45,12167.85,12220.65,90265633
NIFTY ALPHA 50,03-Apr-19,2019,4,12248.6,12277.7,12150.4,12169.15,79412602
NIFTY ALPHA 50,04-Apr-19,2019,4,12186.65,12187.25,12074.6,12135.55,87253498
NIFTY ALPHA 50,05-Apr-19,2019,4,12169.9,12230.95,12151.8,12213.05,84413198
NIFTY ALPHA 50,08-Apr-19,2019,4,12225.65,12241.2,12065.85,12131.95,75500146
NIFTY ALPHA 50,09-Apr-19,2019,4,12132.4,12191.7,12062.3,12173.5,82493793
NIFTY ALPHA 50,10-Apr-19,2019,4,12176.6,12214.45,12147.8,12159.65,92551505
NIFTY ALPHA 50,11-Apr-19,2019,4,12161.1,12184.15,12110.8,12172.2,81901374
NIFTY ALPHA 50,12-Apr-19,2019,4,12177.6,12245.35,12160.4,12228.7,105791330
NIFTY ALPHA 50,15-Apr-19,2019,4,12259.8,12285.7,12220.25,12268,123813923
NIFTY ALPHA 50,16-Apr-19,2019,4,12296.35,12323.7,12287.2,12306,99589556
NIFTY ALPHA 50,18-Apr-19,2019,4,12334.7,12349.45,12240.9,12276.1,133350620
NIFTY ALPHA 50,22-Apr-19,2019,4,12248.9,12248.9,12131.8,12143.9,73289979
NIFTY ALPHA 50,23-Apr-19,2019,4,12161.55,12185.25,12117.25,12154.45,69017710
NIFTY ALPHA 50,24-Apr-19,2019,4,12178.35,12315.3,12173.65,12296.1,80556078
NIFTY ALPHA 50,25-Apr-19,2019,4,12317.4,12348.75,12219.45,12234.25,107870438
NIFTY ALPHA 50,26-Apr-19,2019,4,12276.7,12288.25,12195.55,12243.75,95636328
NIFTY ALPHA 50,30-Apr-19,2019,4,12250.4,12258.75,12150.5,12250.9,110749370
