,,,,,,,,,,,,,,Buy,,,,,,,,,,,,,Sell,,,,,,,,,,,
,nifty_buy1.3,nifty_buy1.5,nifty_buy1.7,nifty_buy3.3,nifty_buy3.5,nifty_buy3.7,nifty_buy5.3,nifty_buy5.5,nifty_buy5.7,nifty1,nifty3,nifty5,Close, ret1.3 , ret1.5 , ret1.7 , ret3.3 , ret3.5 , ret3.7 , ret5.3 , ret5.5 , ret5.7 ,ret1,ret3,ret5,, ret1.3 , ret1.5 , ret1.7 , ret3.3 , ret3.5 , ret3.7 , ret5.3 , ret5.5 , ret5.7 ,ret1,ret3,ret5
1,1,0,1,1,0,0,1,0,0,0,0,0,10863.5,0.011,0,0.011,0.018,0,0,0.028,0,0,0,0,0,,0,-0.011,0,0,-0.018,-0.018,0,-0.027,-0.027,,,
2,1,0,0,1,0,0,1,0,0,0,0,0,10987.45,0.006,0,0,0.004,0,0,0.029,0,0,0,0,0,,0,-0.006,-0.006,0,-0.004,-0.004,0,-0.028,-0.028,,,
3,1,1,1,0,0,0,0,0,0,0,0,0,11053,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,-0.01,-0.01,-0.01,-0.025,-0.025,-0.025,,,
4,1,0,1,1,0,0,0,0,0,0,0,0,11058.2,-0.002,0,-0.002,0.022,0,0,0,0,0,0,0,0,,0,0.002,0,0,-0.022,-0.022,-0.025,-0.025,-0.025,,,
5,0,1,1,0,1,0,0,0,0,0,0,0,11035.4,0,0.012,0.012,0,0.028,0,0,0,0,0,0,0,,-0.012,0,0,-0.027,0,-0.027,-0.034,-0.034,-0.034,,,
6,0,0,1,0,0,1,0,0,0,0,0,0,11168.05,0,0,0.012,0,0,0.016,0,0,0,0,0,0,,-0.012,-0.012,0,-0.015,-0.015,0,-0.026,-0.026,-0.026,,,
7,1,0,1,1,0,0,0,0,0,0,0,0,11301.2,0.004,0,0.004,0.011,0,0,0,0,0,0,0,0,,0,-0.004,0,0,-0.011,-0.011,-0.02,-0.02,-0.02,,,
8,0,1,0,0,0,0,0,0,0,0,0,0,11341.7,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,-0.011,-0.011,-0.011,-0.016,-0.016,-0.016,,,
9,1,1,0,0,0,0,0,0,0,0,0,0,11343.25,0.007,0.007,0,0,0,0,0,0,0,0,0,0,,0,0,-0.007,-0.016,-0.016,-0.016,-0.01,-0.01,-0.01,,,
10,0,1,1,0,1,0,0,0,0,0,0,0,11426.85,0,0.003,0.003,0,0.008,0,0,0,0,0,0,0,,-0.003,0,0,-0.008,0,-0.008,0.006,0.006,0.006,,,
11,0,1,0,0,0,0,0,0,0,0,0,0,11462.2,0,0.006,0,0,0,0,0,0,0,0,0,0,,-0.006,0,-0.006,0,0,0,-0.002,-0.002,-0.002,,,
12,1,0,1,0,0,0,0,0,0,0,0,0,11532.4,-0.001,0,-0.001,0,0,0,0,0,0,0,0,0,,0,0.001,0,0.016,0.016,0.016,0.008,0.008,0.008,,,
13,1,0,1,0,0,0,0,0,0,0,0,0,11521.05,-0.006,0,-0.006,0,0,0,0,0,0,0,0,0,,0,0.006,0,0.003,0.003,0.003,-0.004,-0.004,-0.004,,,
14,1,1,1,1,0,0,0,0,0,1,0,1,11456.9,-0.009,-0.009,-0.009,-0.001,0,0,0,0,0,-0.009,0,0,,0,0,0,0,0.001,0.001,-0.014,-0.014,-0.014,,,
15,0,0,1,0,0,0,0,0,0,1,0,1,11354.25,0,0,0.011,0,0,0,0,0,0,0.011,0,0,,-0.011,-0.011,0,-0.019,-0.019,-0.019,-0.027,-0.027,-0.027,,,
16,0,1,0,0,1,0,0,0,0,1,0,1,11483.25,0,-0.003,0,0,0.012,0,0,0,0,-0.003,0,0,,0.003,0,0.003,-0.012,0,-0.012,-0.02,-0.02,-0.02,,,
17,0,1,0,0,0,0,0,0,0,1,0,1,11445.05,0,0.011,0,0,0,0,0,0,0,0.011,0,0,,-0.011,0,-0.011,-0.019,-0.019,-0.019,-0.017,-0.017,-0.017,,,
18,1,0,0,1,0,0,1,0,0,1,0,1,11570,0.005,0,0,0.012,0,0,0.002,0,0,0.005,0,0,,0,-0.005,-0.005,0,-0.012,-0.012,0,-0.002,-0.002,,,
19,0,0,0,0,0,0,0,0,0,1,0,1,11623.9,0,0,0,0,0,0,0,0,0,0.004,0,0,,-0.004,-0.004,-0.004,-0.002,-0.002,-0.002,-0.004,-0.004,-0.004,,,
20,1,0,0,0,0,0,0,0,0,1,0,1,11669.15,0.004,0,0,0,0,0,0,0,0,0.004,0,0,,0,-0.004,-0.004,0.006,0.006,0.006,0.006,0.006,0.006,,,
21,1,0,0,0,0,0,0,0,0,1,0,1,11713.2,-0.006,0,0,0,0,0,0,0,0,-0.006,0,0,,0,0.006,0.006,0.004,0.004,0.004,0.004,0.004,0.004,,,
22,0,0,0,0,0,0,0,0,0,1,0,1,11643.95,0,0,0,0,0,0,0,0,0,-0.004,0,0,,0.004,0.004,0.004,0.003,0.003,0.003,0.005,0.005,0.005,,,
23,0,0,0,0,0,0,0,0,0,1,0,1,11598,0,0,0,0,0,0,0,0,0,0.006,0,0,,-0.006,-0.006,-0.006,-0.006,-0.006,-0.006,0,0,0,,,
24,0,0,1,0,0,0,0,0,0,1,0,1,11665.95,0,0,-0.005,0,0,0,0,0,0,-0.005,0,0,,0.005,0.005,0,0.007,0.007,0.007,0.002,0.002,0.002,,,
25,0,0,1,0,0,0,0,0,0,1,0,1,11604.5,0,0,0.006,0,0,0,0,0,0,0.006,0,0,,-0.006,-0.006,0,0.001,0.001,0.001,-0.007,-0.007,-0.007,,,
