Index Name,Date,Open,High,Low,Close,Volume
NIFTY200 QUALITY 30,01-Mar-19,9507.4,9548.8,9484.45,9512.6,55786179
NIFTY200 QUALITY 30,05-Mar-19,9504.05,9613.1,9480,9605.1,63712078
NIFTY200 QUALITY 30,06-Mar-19,9632.3,9645.2,9590.35,9618.3,70339549
NIFTY200 QUALITY 30,07-Mar-19,9646.8,9646.8,9546.85,9559.15,53603725
NIFTY200 QUALITY 30,08-Mar-19,9551.9,9560.15,9520.7,9549.95,58041727
NIFTY200 QUALITY 30,11-Mar-19,9581.45,9705.85,9577.05,9699.9,80480117
NIFTY200 QUALITY 30,12-Mar-19,9744.1,9793.85,9722.7,9741.2,75060479
NIFTY200 QUALITY 30,13-Mar-19,9764,9785.15,9696.1,9712.35,76341434
NIFTY200 QUALITY 30,14-Mar-19,9743.4,9744.1,9663,9697.65,58816550
NIFTY200 QUALITY 30,15-Mar-19,9715.5,9737.4,9681.1,9694.5,108978644
NIFTY200 QUALITY 30,18-Mar-19,9730.7,9737.25,9635.25,9656.4,54082597
NIFTY200 QUALITY 30,19-Mar-19,9679.8,9690.95,9624.85,9681.25,65524287
NIFTY200 QUALITY 30,20-Mar-19,9704.55,9709.05,9624.25,9636.3,85022744
NIFTY200 QUALITY 30,22-Mar-19,9641.55,9676.2,9578.85,9602.95,70623671
NIFTY200 QUALITY 30,25-Mar-19,9570.75,9570.75,9512.5,9550.75,49999495
NIFTY200 QUALITY 30,26-Mar-19,9569.8,9627.15,9537.55,9616.05,62500117
NIFTY200 QUALITY 30,27-Mar-19,9640.15,9651.9,9558.1,9571.7,54357076
NIFTY200 QUALITY 30,28-Mar-19,9592.6,9667.1,9587.45,9639.5,99733879
NIFTY200 QUALITY 30,29-Mar-19,9687.3,9689.75,9641.2,9684.7,74719448
NIFTY200 QUALITY 30,01-Apr-19,9727.05,9760.95,9690.5,9707.3,65211858
NIFTY200 QUALITY 30,02-Apr-19,9738,9765.05,9685.9,9708.8,64285346
NIFTY200 QUALITY 30,03-Apr-19,9732.15,9743.6,9677.55,9688.8,65461395
NIFTY200 QUALITY 30,04-Apr-19,9712.75,9712.75,9650.7,9700.65,57675813
NIFTY200 QUALITY 30,05-Apr-19,9726.95,9735.5,9689.9,9713.15,48496801
NIFTY200 QUALITY 30,08-Apr-19,9735.7,9741.5,9655.3,9697.85,43271740
NIFTY200 QUALITY 30,09-Apr-19,9701.85,9749.5,9671.65,9741.4,50787380
NIFTY200 QUALITY 30,10-Apr-19,9741.5,9748.15,9682.45,9693.9,52726911
NIFTY200 QUALITY 30,11-Apr-19,9694.55,9716.75,9666.95,9690.15,46486449
NIFTY200 QUALITY 30,12-Apr-19,9700.8,9753.1,9691.6,9745.75,63251822
NIFTY200 QUALITY 30,15-Apr-19,9774.55,9836.8,9768.45,9828.75,96802426
NIFTY200 QUALITY 30,16-Apr-19,9865.45,9903.3,9856.55,9888,122390341
NIFTY200 QUALITY 30,18-Apr-19,9909.7,9921.45,9848.9,9860.95,64589038
NIFTY200 QUALITY 30,22-Apr-19,9842.7,9846.45,9783.6,9789.5,37368378
NIFTY200 QUALITY 30,23-Apr-19,9799,9811.85,9748.6,9762.15,42588774
NIFTY200 QUALITY 30,24-Apr-19,9777.65,9853.4,9762.4,9845.05,65023099
NIFTY200 QUALITY 30,25-Apr-19,9857,9863.4,9773.1,9782.3,92860211
NIFTY200 QUALITY 30,26-Apr-19,9807.85,9830.8,9773.1,9801.15,36773404
NIFTY200 QUALITY 30,30-Apr-19,9791.75,9838.35,9766.55,9830.3,65201051
NIFTY200 QUALITY 30,02-May-19,9803.95,9833.4,9720.85,9729.05,62786144
NIFTY200 QUALITY 30,03-May-19,9706.3,9718.45,9638.7,9651.55,50539725
NIFTY200 QUALITY 30,06-May-19,9596.75,9622.1,9543.85,9558.75,48203414
NIFTY200 QUALITY 30,07-May-19,9602.45,9643.9,9533.1,9543.3,68456085
NIFTY200 QUALITY 30,08-May-19,9533.4,9538.15,9464.2,9474.85,53084737
NIFTY200 QUALITY 30,09-May-19,9458.5,9508.5,9444.9,9485.1,57602140
NIFTY200 QUALITY 30,10-May-19,9461,9474.55,9418.05,9443.05,57736213
NIFTY200 QUALITY 30,13-May-19,9425.35,9466.9,9351.1,9367.2,73489085
NIFTY200 QUALITY 30,14-May-19,9350.75,9388.75,9268.55,9347.65,64548925
NIFTY200 QUALITY 30,15-May-19,9359.8,9395.65,9315.25,9327.75,59010416
NIFTY200 QUALITY 30,16-May-19,9348,9397.55,9308.75,9375.45,38757880
NIFTY200 QUALITY 30,17-May-19,9382.45,9516.55,9371.45,9501.85,58873592
NIFTY200 QUALITY 30,20-May-19,9653.6,9689.3,9546.95,9677.75,66370975
NIFTY200 QUALITY 30,21-May-19,9702.75,9705.35,9586.15,9605.6,54049028
NIFTY200 QUALITY 30,22-May-19,9602.9,9624.3,9556,9609.8,52262328
NIFTY200 QUALITY 30,23-May-19,9714.45,9726.9,9524.15,9552.05,79668657
NIFTY200 QUALITY 30,24-May-19,9605.8,9653,9519.1,9638.9,66984533
NIFTY200 QUALITY 30,27-May-19,9634.75,9638.35,9585.25,9606.8,62130298
NIFTY200 QUALITY 30,28-May-19,9636.9,9663.8,9608.1,9623.3,104536242
NIFTY200 QUALITY 30,29-May-19,9620.05,9632.8,9581.45,9603.8,56877650
NIFTY200 QUALITY 30,30-May-19,9625.05,9639.55,9596.2,9608.9,79143063
NIFTY200 QUALITY 30,31-May-19,9663,9738.75,9627.65,9664.55,98060382
NIFTY200 QUALITY 30,03-Jun-19,9693.8,9869.2,9670.7,9856,73187173
NIFTY200 QUALITY 30,04-Jun-19,9828.5,9830.75,9738.45,9750.2,63576262
NIFTY200 QUALITY 30,06-Jun-19,9788.3,9793.75,9728.6,9740.15,66744994
NIFTY200 QUALITY 30,07-Jun-19,9748,9753.55,9659.35,9712.7,41909118
NIFTY200 QUALITY 30,10-Jun-19,9768.55,9831.2,9759.85,9801.75,45808263
NIFTY200 QUALITY 30,11-Jun-19,9830.15,9838.05,9794.55,9821.6,46269124
NIFTY200 QUALITY 30,12-Jun-19,9820.15,9820.15,9736.75,9776.55,42013596
NIFTY200 QUALITY 30,13-Jun-19,9753.75,9767.8,9695.4,9746.9,39883342
NIFTY200 QUALITY 30,14-Jun-19,9737.2,9744.55,9631.2,9649.25,37449674
NIFTY200 QUALITY 30,17-Jun-19,9655.65,9660.15,9561.95,9575.2,39522368
NIFTY200 QUALITY 30,18-Jun-19,9577.35,9600,9529.55,9578.8,50773829
NIFTY200 QUALITY 30,19-Jun-19,9614.1,9636.1,9520.15,9562.4,38245223
NIFTY200 QUALITY 30,20-Jun-19,9512.55,9660.65,9497.65,9652.15,48776617
NIFTY200 QUALITY 30,21-Jun-19,9646.45,9649.05,9546.1,9566.7,96780372
NIFTY200 QUALITY 30,24-Jun-19,9572.1,9582.7,9506.4,9527.15,40891983
NIFTY200 QUALITY 30,25-Jun-19,9512.1,9577.6,9478.1,9567.95,41189821
